spread_id,split,technical_grade,style_grade,spread_type,is_solo,is_front,is_terminal,page_role,left_page,right_page,n_pages_in_spread,edition_page_count,page_position_frac,edition_item_count,edition_word_count_total,edition_word_count_mean,edition_brief_frac,edition_standard_frac,edition_template_entropy,edition_image_count_total,edition_source_count,edition_section_count,est_item_count,est_items_per_page,est_word_count,est_words_per_page,est_word_count_mean,est_brief_count,est_standard_count,est_image_count,est_source_count,d3_image_fraction,d5_fill_fraction,d7_template_entropy,d8_word_count_cv,anchor_strength,d2_orphans,d2_widows,d4_col_balance,d6_dead_space
s-017-005,train,4,2,spread,0,0,0,interior,8,9,2,23,0.318182,35,19085,545.29,0.371429,0.628571,0.951763,0,12,3,3,1.5,1659.57,829.78,553.19,0,3,0,2,0.0,0.72147,0.0,0.203068,1.271106,0,0,10.4,0.0
s-060-009,train,6,3,spread,0,0,0,interior,16,17,2,25,0.625,35,26345,752.71,0.285714,0.714286,0.863121,0,12,3,2,1.0,2107.6,1053.8,1053.8,0,2,0,2,0.0,0.711784,0.0,0.118521,1.118521,0,0,26.7,0.0
s-095-003,train,6,3,spread,0,0,0,interior,4,5,2,20,0.157895,29,13351,460.38,0.275862,0.724138,0.849751,0,7,2,6,3.0,1335.1,667.55,222.52,3,3,0,3,0.0,0.549859,1.0,0.915889,2.198425,0,0,310.8,0.0
s-009-007,train,3,2,spread,0,0,0,interior,12,13,2,20,0.578947,35,21039,601.11,0.314286,0.685714,0.898059,0,10,3,4,2.0,2103.9,1051.95,525.98,0,4,0,3,0.0,0.39022,0.0,1.368076,3.352545,0,0,25.36,0.022661
s-014-004,val,3,2,spread,0,0,0,interior,6,7,2,21,0.25,29,14413,497.0,0.275862,0.724138,0.849751,0,12,3,2,1.0,1372.67,686.34,686.34,0,2,0,2,0.0,0.388126,0.0,0.171603,1.171603,0,0,10.4,0.0
s-009-004,train,6,4,spread,0,0,0,interior,6,7,2,20,0.263158,35,21039,601.11,0.314286,0.685714,0.898059,0,10,3,5,2.5,2103.9,1051.95,420.78,0,5,0,4,0.0,0.747148,0.0,1.490267,3.967869,0,0,89.2,0.0
s-009-006,train,4,3,spread,0,0,0,interior,10,11,2,20,0.473684,35,21039,601.11,0.314286,0.685714,0.898059,0,10,3,1,0.5,2103.9,1051.95,2103.9,0,1,0,1,0.0,0.382815,0.0,0.0,1.0,0,0,362.96,0.033446
s-032-001,train,2,2,solo,1,1,0,front,1,1,1,24,0.0,29,33606,1158.83,0.172414,0.827586,0.663197,0,14,3,4,4.0,1400.25,1400.25,350.06,0,4,0,2,0.0,0.039313,0.0,0.83688,2.439462,1,0,0.0,0.060046
s-079-008,train,6,4,spread,0,0,0,interior,14,15,2,43,0.309524,47,39450,839.36,0.06383,0.93617,0.342464,0,11,2,5,2.5,1834.88,917.44,366.98,0,5,0,2,0.0,0.768269,0.0,0.735893,2.08509,0,0,56.4,0.0
s-006-007,val,3,2,spread,0,0,0,interior,12,13,2,16,0.733333,29,10189,351.34,0.37931,0.62069,0.957553,0,9,3,1,0.5,1273.62,636.81,1273.62,0,1,0,1,0.0,0.564713,0.0,0.0,1.0,0,0,474.5,0.017687
s-042-011,train,3,2,spread,0,0,0,interior,20,21,2,31,0.633333,41,24822,605.41,0.317073,0.682927,0.90117,0,12,3,2,1.0,1601.42,800.71,800.71,0,2,0,2,0.0,0.290116,0.0,0.401658,1.401658,0,0,365.84,0.0
s-084-006,val,7,4,spread,0,0,0,interior,10,11,2,16,0.6,41,7747,188.95,0.195122,0.804878,0.712064,0,5,2,4,2.0,968.38,484.19,242.09,1,3,0,2,0.0,0.56302,0.811278,0.748866,1.80118,0,0,299.0,0.047192
s-020-008,train,6,3,spread,0,0,0,interior,14,15,2,28,0.481481,41,21748,530.44,0.268293,0.731707,0.839004,0,9,3,3,1.5,1553.43,776.72,517.81,0,3,0,1,0.0,0.797157,0.0,0.584216,1.80674,0,0,90.7,0.0
s-071-012,train,4,3,spread,0,0,0,interior,22,23,2,30,0.724138,41,23371,570.02,0.243902,0.756098,0.80147,0,10,2,5,2.5,1558.07,779.03,311.61,0,5,0,3,0.0,0.399904,0.0,0.351541,1.43409,0,0,408.34,0.0
s-079-015,train,3,2,spread,0,0,0,interior,28,29,2,43,0.642857,47,39450,839.36,0.06383,0.93617,0.342464,0,11,2,3,1.5,1834.88,917.44,611.63,0,3,0,3,0.0,0.714179,0.0,0.601718,1.65119,0,0,110.26,0.0
s-037-012,train,6,3,spread,0,0,0,interior,22,23,2,28,0.777778,29,31100,1072.41,0.137931,0.862069,0.578795,0,12,4,4,2.0,2221.43,1110.71,555.36,0,4,0,3,0.0,0.711998,0.0,0.790387,2.169524,0,0,38.6,0.0
s-004-001,val,2,2,solo,1,1,0,front,1,1,1,20,0.0,29,38613,1331.48,0.413793,0.586207,0.978449,0,13,3,1,1.0,1930.65,1930.65,1930.65,0,1,0,1,0.0,0.030461,0.0,0.0,1.0,1,0,0.0,0.060046
s-016-006,train,3,2,spread,0,0,0,interior,10,11,2,15,0.642857,29,20808,717.52,0.448276,0.551724,0.992267,0,10,2,5,2.5,2774.4,1387.2,554.88,0,5,0,5,0.0,0.21803,0.0,1.369641,3.649393,0,0,395.64,0.0
s-040-004,train,6,3,spread,0,0,0,interior,6,7,2,24,0.217391,47,32454,690.51,0.489362,0.510638,0.999673,0,11,2,4,2.0,2704.5,1352.25,676.12,0,4,0,4,0.0,0.726009,0.0,0.608205,1.867805,0,0,28.2,0.0
s-051-005,val,3,2,spread,0,0,0,interior,8,9,2,24,0.304348,23,89368,3885.57,0.086957,0.913043,0.426229,0,8,1,5,2.5,7447.33,3723.66,1489.47,0,5,0,4,0.0,0.659273,0.0,0.727174,2.01755,0,0,334.6,0.0
s-007-015,train,5,3,spread,0,0,0,interior,28,29,2,33,0.84375,47,38820,825.96,0.382979,0.617021,0.960119,0,13,3,4,2.0,2352.73,1176.37,588.18,0,4,0,3,0.0,0.643283,0.0,0.521461,1.483407,0,0,501.2,0.0
s-060-001,train,2,2,solo,1,1,0,front,1,1,1,25,0.0,35,26345,752.71,0.285714,0.714286,0.863121,0,12,3,1,1.0,1053.8,1053.8,1053.8,0,1,0,1,0.0,0.046552,0.0,0.0,1.0,1,0,0.0,0.060046
s-050-001,train,2,2,solo,1,1,0,front,1,1,1,11,0.0,23,9097,395.52,0.391304,0.608696,0.965636,0,10,2,3,3.0,827.0,827.0,275.67,0,3,0,3,0.0,0.056824,0.0,0.852621,2.19026,1,0,31.75,0.037789
s-010-002,val,6,4,spread,0,0,0,interior,2,3,2,13,0.083333,17,12215,718.53,0.235294,0.764706,0.787127,0,8,1,4,2.0,1879.23,939.62,469.81,1,3,0,3,0.0,0.682986,0.811278,0.803493,1.988812,0,0,342.0,0.0
s-062-004,train,6,5,spread,0,0,1,terminal,6,7,2,7,0.833333,23,9363,407.09,0.478261,0.521739,0.998636,0,7,2,16,8.0,2675.14,1337.57,167.2,7,9,0,6,0.0,0.606751,0.988699,1.102558,4.190598,0,0,162.19,0.038941
s-036-002,val,6,3,spread,0,0,0,interior,2,3,2,8,0.142857,29,6088,209.93,0.655172,0.344828,0.929364,0,10,3,1,0.5,1522.0,761.0,1522.0,0,1,0,1,0.0,0.39797,0.0,0.0,1.0,1,0,59.5,0.0
s-065-009,val,6,3,spread,0,0,0,interior,16,17,2,21,0.75,29,26950,929.31,0.310345,0.689655,0.893571,0,7,1,1,0.5,2566.67,1283.34,2566.67,0,1,0,1,0.0,0.425268,0.0,0.0,1.0,0,0,60.06,0.0
s-047-003,train,6,3,spread,0,0,0,interior,4,5,2,20,0.157895,35,20300,580.0,0.142857,0.857143,0.591673,0,8,1,4,2.0,2030.0,1015.0,507.5,0,4,0,4,0.0,0.74471,0.0,0.722674,1.910195,0,0,32.7,0.0
s-096-001,train,2,2,solo,1,1,0,front,1,1,1,29,0.0,47,30056,639.49,0.446809,0.553191,0.991821,0,14,3,2,2.0,1036.41,1036.41,518.21,0,2,0,2,0.0,0.052497,0.0,0.767217,1.767217,1,0,0.0,0.060046
s-074-002,val,6,4,spread,0,0,0,interior,2,3,2,21,0.05,41,11076,270.15,0.243902,0.756098,0.80147,0,8,2,5,2.5,1054.86,527.43,210.97,0,5,0,4,0.0,0.778523,0.0,0.790075,2.174403,0,0,5.3,0.0
