spread_id,technical,style,notes
s-091-001,2,2,"Front page: Local Dispatch masthead + FEATURES label only ~15% fill. Broken front page — content-free."
s-090-001,2,2,"Front page: The Silicon Ledger masthead + FEATURES label only ~15% fill. Broken front page."
s-038-001,2,2,"Front page: The Civic Wire masthead + FEATURES label only ~15% fill. Broken front page."
s-089-001,4,3,"Front page: The Urban Digest masthead + FRONT PAGE: Leave no trace rafting Grand Canyon (Inhabitat) short blurb ~25% fill ending with FEATURES header. Sparse front but functional narrative lead."
s-075-001,2,2,"Front page: Swift Report masthead + FEATURES label only ~15% fill. Broken front page."
s-039-001,5,4,"Front page: Bright Register masthead + FRONT PAGE: Used Car Of The Day 2012 BMW X5 35d (The Truth About Cars) lead article ~30% fill ending with FEATURES header. Functional but sparse front with structured car-listing copy."
s-090-023,6,4,"Solo terminal page: pull quote (Tiles-3 mustache templates) at top + IN BRIEF densely packed multi-item briefs (Reformed Broker + Evan Miller + Redis Blog) + The Silicon Ledger colophon. Mixed-length closing rhythm ~80% fill."
s-093-005,1,1,"Solo page broken — sub-masthead Curious Standard Vol.1 No.093 + Curated and composed automatically tagline only ~5% fill mid-edition. Catastrophic page failure."
s-095-011,2,2,"Solo page broken — two stacked pull quotes (Universal Cup Grand Prix Poland + heuristics matching code) + sub-masthead The Wide Post Vol.1 No.095 only ~20% fill. Broken page with stacked orphan pull quotes."
s-047-011,7,5,"Solo terminal page: three-col TPDP Episodes #8/#9/#10 (Polyglot Developer) tech tutorial briefs with multiple episode headlines creating editorial rhythm ending with Global Chronicle colophon ~95% fill. Strong multi-article closing."
s-028-004,4,3,"Solo terminal page: single-col Ground Invasion of Iran Could Be Suicide Mission (Democracy Now! Harrison Mann interview) ~30% fill with The Journal colophon and vast dead space below. Sparse closing page."
s-045-007,7,5,"Solo terminal page: three-col IN BRIEF densely packed multi-item briefs (Tom Brohan + Newsweek/Petty Mug + Allison Foreman + James Hibberd + Tim Miller + Natalie Ogonowski/Deadline + Apple Newsroom + Patrick Hipes/Deadline) ending with The Sunday Sentinel colophon ~95% fill. Excellent multi-article closing rhythm."
s-054-011,2,2,"Left page tail of A byte week (Petr Mitrichev) ~50% fill ending with The Connected Observer colophon mid-edition. Right page broken — single pull quote (There was no contest...) only ~5% fill. Catastrophic spread imbalance with mid-edition colophon."
s-033-017,4,3,"Left page two-col Bianca Censori FATHER music video + Steel House Denver (Dezeen) architecture article good fill ~95%. Right page short single-col Nike Air Force 1 Heat Map article + BRIEFS section header ~30% fill. Sparse right with section break drags spread."
