spread_id,technical,style,notes
s-017-005,4,2,"Left page dense two-col KnightOS article good fill. Right page severely underfilled ~40% — large dead space below short article. Extreme spread imbalance."
s-060-009,6,3,"Both pages two-col articles (UX Research + Dezeen architecture) with good fill and consistent spacing. Matched density gray walls — no visual anchors or compositional dialogue."
s-095-003,6,3,"Both pages two-col architecture articles with good fill. Similar density both sides — no visual variety, no rhythm, interchangeable pages."
s-009-007,3,2,"Left page three-col mixed articles (book review + film interview) with decent fill. Right page pull quote only ~10% fill — catastrophic spread imbalance."
s-014-004,3,2,"Left page pull quote only ~5% fill — essentially blank. Right page two-col Venice Biennale article good fill. Extreme structural imbalance."
s-009-004,6,4,"Both pages two-col interview/Q&A format with good fill. Speaker changes and structural elements create natural rhythm. Best use of content format in batch."
s-009-006,4,3,"Left page multi-article three-col mix with variety. Right page two short articles ~40% fill with large dead space below. Unbalanced spread."
s-032-001,2,2,"Front page: masthead only ~15% fill — FEATURES label then empty space. Right page dense two-col immigration article. Broken front page — no content below masthead."
s-079-008,6,4,"Left page Scotland history article two-col good fill. Right page Derek Sivers aphoristic format — short lines create distinct visual rhythm. Content contrast works."
s-006-007,3,2,"Left page three-col multi-article (microwave relay + Siren Song of Little Languages) good fill. Right page ANALYSIS section header only — blank page ~3% fill."
s-042-011,3,2,"Left page pull quote only ~10% fill. Right page three-col varied content (19th-century reporter + A Week In The Life) with good fill. Extreme spread imbalance."
s-084-006,7,4,"Both pages dense two-col tech tutorials (Polyglot Developer series). Multiple article headlines create editorial rhythm across spread. Well-balanced density and spacing."
s-020-008,6,3,"Both pages two-col tech articles (Lapsus security + USB ports) with good fill. Different topics but matched density — no visual anchors or compositional dialogue."
s-071-012,4,3,"Left page pull quote at top + two articles ~50% fill with dead space below. Right page three-col good fill. Spread imbalance from underfilled left page."
s-079-015,3,2,"Left page three-col multi-article (book pricing + TED legal) good fill. Right page pull quote only ~10% fill — catastrophic spread imbalance."
s-037-012,6,3,"Both pages two-col tech articles (recommendation systems + comments in LLM age) with good fill. Uniform density gray walls — no visual variety."
s-004-001,2,2,"Front page: masthead only ~15% fill — no content below FEATURES label. Right page dense two-col regex article. Broken front page."
s-016-006,3,2,"Left page pull quote only ~10% fill. Right page three-col mixed content (I got tired + Episode 125 Snakes) good fill. Extreme spread imbalance."
s-040-004,6,3,"Both pages two-col tech articles (TypeScript DI + Tinder API Guide) with good fill. Code examples provide mild texture but no visual anchors."
s-051-005,3,2,"Left page two-col dev environment article good fill. Right page pull quote only ~10% fill — massive dead space. Extreme spread imbalance."
s-007-015,5,3,"Left page two-col REPL Driven Design article good fill ~85%. Right page two short articles ~40% fill with dead space. Mildly unbalanced spread."
s-060-001,2,2,"Front page: masthead only ~15% fill. Right page wallpaper resolution data dump — raw numbers not editorial content. Broken front page."
s-050-001,2,2,"Front page: masthead only ~15% fill. Right page two-col Korean cafe architecture article good fill. Broken front page — no content below masthead."
s-010-002,6,4,"Left page recipe article (Feel-good Lunch Ideas) with numbered items creating structural variety. Right page travel/family article. Mixed content types create contrast."
s-062-004,6,5,"Solo page with multiple articles (Memory lane + Google Logica + Scripting News + Enemy of the State) plus colophon footer. Editorial rhythm from mixed lengths — newspaper feel."
s-036-002,6,3,"Both pages two-col articles (business loan guide + HP LaserJet printers) with good fill. Structured sections on left but similar treatment — no visual anchors."
s-065-009,6,3,"Both pages two-col articles (King George III + Vitus Bering explorer) with good fill. Historical content but similar density — no compositional dialogue."
s-047-003,6,3,"Both pages two-col tech articles (JavaScript Keyboard Accordion + Hadoop to Kafka Streams) with good fill. Code on left provides mild texture."
s-096-001,2,2,"Front page: masthead only ~15% fill. Right page two-col Q&A article (SystemD contributor) good fill. Broken front page — content-free masthead."
s-074-002,6,4,"Left page Bihar Q&A format with numbered questions creating structural variety. Right page startup equity article with structured sections. Different formats create contrast."
s-041-007,3,2,"Left page three-col multi-article (open source charging + Microsoft Office) good fill. Right page pull quote + ANALYSIS header ~15% fill. Broken right page."
s-070-003,6,4,"Left page music article (Yeat album rollout) two-col. Right page food/culture article (Smoked Pigeon gastropod) two-col. Different content domains create editorial variety."
s-082-006,2,1,"Left page ANALYSIS section header only — essentially blank ~3% fill. Right page two-col political article (Swing States) good fill. Catastrophic structural failure."
