spread_id,technical,style,notes
s-001-004,7,5,"Left page tail of one essay flowing into start of next article. Right page rich multi-article briefs spread (NPR podcasts + Greenland items + briefs columns) with mixed lengths creating strong editorial rhythm."
s-002-004,3,2,"Left two-col HBR loneliness article good fill. Right page short Special Series blurb + ANALYSIS section header ~30% fill — vast dead space below. Broken right page."
s-003-014,3,3,"Left three-col IN BRIEF section densely packed multi-item news briefs ~95% fill. Right page broken — sub-masthead The Atlantic Post Vol.1 No.003 only ~10% fill on interior position. Extreme spread imbalance."
s-005-004,5,4,"Solo terminal page two-col tech + HBR articles (memory bloat + CEO red flags) ~75% fill with colophon footer. Adequate closing page with mild dead space below."
s-008-005,7,6,"Left page Climate Therapist personal advice essay single-col dense good fill. Right page humor piece (12 Bugs of Christmas) with repeating numbered structure creating distinct visual rhythm. Strong content contrast."
s-011-010,2,2,"Solo page broken — pull quote + sub-masthead The New Mirror Vol.1 No.011 only ~15% fill mid-edition. Catastrophic page failure with masthead artifact and dead space."
s-013-001,2,2,"Front page: Atlantic Wire masthead + FEATURES label only ~10% fill. Broken front page — no content below masthead."
s-018-008,4,3,"Both pages dense single-col walls — TED announcement essay + productive programmers article. Good fill on both but uniform gray walls with zero visual variety or anchors."
s-019-003,6,3,"Left two-col Looksmaxxing health/beauty article good fill. Right two-col side-stitch running advice good fill. Different domains but matched density gray walls — no visual dialogue."
s-022-001,4,3,"Front page: Metropolitan Digest masthead + FRONT PAGE: UK spring days out short blurb (3 paragraphs) + FEATURES header ~30% fill. Sparse front page with brief lead and large dead space."
s-023-001,2,2,"Front page: The Modern Standard masthead only ~10% fill — fully empty front page below masthead. Broken front page."
s-025-002,7,5,"Left page two-col Bridgerton diversity essay with bottom pull quote anchor good fill. Right page two-col tech briefs (No Tech Start-ups + CEO attention) plus IN BRIEF column. Mixed templates with pull quote create strong editorial spread."
s-028-002,5,3,"Left two-col Pittsburgh post-steel economy article with pull quote good fill. Right two-col Hegseth/Iran war press article good fill. Pull quote breaks rhythm on left but otherwise dense matched walls."
s-029-001,5,4,"Front page: The Sun masthead + FRONT PAGE: SRA Status Update single-col lead article ~50% fill. Right page two-col Build 135 SNP database update with structured technical data ~95% fill. Functional but underfilled front."
s-033-009,5,4,"Left page memory cards photography how-to single-col good fill. Right page Stuffed Lumaconi recipe with structured ingredient list and steps creating texture. Mixed content types add variety despite single-column formats."
s-034-006,5,5,"Left page 2025 Go Cryptography State of Union with annotated transcript markers (#) creating section breaks. Right page two-col Supply Chain Compromises with structured incident headings. Markers and headings create rhythm despite gray walls."
s-035-001,2,2,"Front page: New Globe masthead + FEATURES label only ~10% fill. Broken front page — content-free."
s-038-007,5,3,"Left page Java zero-cost security article single-col dense good fill. Right page Static Libs Do Not Modular Make essay single-col dense good fill. Both pages dense gray walls — no compositional variety."
s-043-003,2,2,"Left page IN BRIEF section densely packed multi-item video game briefs ~95% fill. Right page broken — sub-masthead Swift Star Vol.1 No.043 only ~10% fill mid-edition. Extreme spread imbalance."
s-045-005,6,5,"Left page Year of the Rat first-person Polish nationalism essay single-col dense good fill. Right page Trump-Biden Debate transcript with speaker labels creating distinct dialogue rhythm. Content-type contrast works well."
s-046-003,6,4,"Left page two-col PS5 price + Snowstorm Episode 917 articles with boxed structure good fill. Right page Play Services Monolith essay single-col with code blocks providing visual texture. Code adds interest."
s-053-003,3,2,"Left page Dockerizing Rails tutorial single-col good fill. Right page broken — pull quote (yml database setup excerpt) only ~10% fill on solo page mid-edition. Extreme spread imbalance."
s-054-012,3,2,"Left page Memory lane for Frontier users article ~40% fill ending with ANALYSIS header on otherwise empty page. Right page IN BRIEF section densely packed Scripting News briefs ~95% fill. Catastrophic left-page imbalance."
s-056-006,2,2,"Left page IN BRIEF section densely packed cybersecurity/gaming briefs ~95% fill. Right page broken — sub-masthead The Civic Digest Vol.1 No.056 only ~10% fill mid-edition. Extreme imbalance."
s-058-004,2,2,"Left page three-col mixed Rails/Metadata/CGI tutorials good fill ~95%. Right page broken — sub-masthead Civic Edition Vol.1 No.058 only ~10% fill mid-edition. Extreme imbalance."
s-061-001,5,4,"Front page: Quiet Post masthead + FRONT PAGE: Peak District lead article ~25% fill ending with FEATURES header. Right page two-col Best Meal Kit Delivery Services with structured ratings good fill. Sparse front but functional."
s-066-001,7,6,"Front page: The Daily Record masthead + FRONT PAGE: How Flowers Made Our World single-col long-form lead ~85% fill. Right page two-col Airport Adventure + IN BRIEF column with multiple briefs. Strong editorial front with rich interior."
s-067-001,4,3,"Front page: Digital Courier masthead + FRONT PAGE: Corrupt a wish with GPT-4 short blurb only ~30% fill. Right page three-col Hello Magenta + Drone Wars + IN BRIEF good fill. Sparse front but rich interior."
s-075-003,7,6,"Solo page: three-col multi-article composition (Shadows of the Constitution + Big Walk House Mouse + Crimson Desert + X On The Map) with multiple headlines creating editorial rhythm. Excellent multi-article density."
s-076-001,2,2,"Front page: The Connected Star masthead + FEATURES label only ~10% fill. Broken front page."
s-077-005,2,2,"Solo page broken — pull quote ($129 Lifetime membership excerpt) + sub-masthead The Connected Post Vol.1 No.077 only ~15% fill mid-edition. Catastrophic page failure."
s-080-002,7,6,"Left page Charlotte Blease 'closed notes' healthcare essay single-col with mid-page pull quote ~95% fill. Right page two-col 9 Exercises for Sagging Neck with numbered list creating rhythm. Pull quote anchors spread."
s-081-008,2,2,"Solo page broken — pull quote (Theoretically these costs... excerpt) + sub-masthead The Beacon Vol.1 No.081 only ~15% fill mid-edition. Catastrophic page failure."
s-090-010,6,4,"Left page Management Maturity Model essay single-col with numbered Levels (0-5) creating structured rhythm good fill. Right page .NET Object Memory Layout tutorial single-col dense good fill. Level numbering adds texture."
s-091-002,7,5,"Left page Open Letter to Linux Foundation with formatted greeting and numbered questions list creating rhythm. Right page two-col HBO Dean Potter feature + Browser Sandbox FAQ with question headers good fill. Rich editorial variety."
s-092-001,2,2,"Front page: Civic Register masthead + FEATURES label only ~10% fill. Broken front page."
s-093-004,2,2,"Left page two-col Frontend Engineering at Palantir tech article good fill ~95%. Right page broken — sub-masthead Curious Standard Vol.1 No.093 only ~10% fill mid-edition. Extreme imbalance."
s-094-003,2,2,"Left page three-col IN BRIEF section densely packed Hurdle/Sony product briefs ~95% fill. Right page broken — sub-masthead Daily Chronicle Vol.1 No.094 only ~10% fill mid-edition. Extreme imbalance."
s-097-008,3,2,"Left page broken — pull quote (M1 MacBook Air pricing excerpt) only ~10% fill. Right page two-col MacBook Air deals article good fill ~95%. Extreme spread imbalance."
s-098-001,2,2,"Front page: The Atlantic Bulletin masthead + FEATURES label only ~10% fill. Broken front page."
s-027-005,6,5,"Left page Amazing Atlas travel-guide essay single-col good fill. Right page Robinhood/Vlad Tenev Q&A interview format with timestamp markers and dialogue creating rhythm. Mixed format works."
s-079-001,2,2,"Front page: The Digital Journal masthead + FEATURES label only ~10% fill. Broken front page."
s-031-009,6,4,"Left page Jay Fields lead consultant essay single-col dense good fill. Right page two-col CSS @scope tutorial with code snippets providing texture. Both pages well-filled with content variety."
s-083-011,3,2,"Left page broken — pull quote (Fetterman/Mullin nomination excerpt) only ~5% fill. Right page two-col SCOTUS mail voting article good fill ~95%. Extreme spread imbalance."
