spread_id,technical,style,notes
s-001-001,4,3,"Front page: The Old Report masthead + FRONT PAGE: Stop Multitasking Try Timeboxing short blurb (HBR) + FEATURES header ~30% fill. Right page two-col HBR Pull Requests article good fill. Sparse front but functional lead."
s-002-001,2,2,"Front page: The Quiet Courier masthead + FRONT PAGE label only ~10% fill. Right page two-col 4 Business Ideas Shareholder Value HBR article + FEATURES header good fill. Broken front page."
s-003-001,2,2,"Front page: The Atlantic Post masthead + FEATURES label only ~10% fill. Right page single-col long-form Roots of Righteousness India ethics article ~95% fill. Broken front page; right is dense gray wall."
s-005-001,2,2,"Front page: The Silicon Wire masthead + FEATURES label only ~10% fill. Right page two-col 10 Hacks Every Ring User Should Know article good fill. Broken front page."
s-006-001,5,4,"Front page: Morning Herald masthead + FRONT PAGE: Travel without social praise (Derek Sivers) lead article ~50% fill ending with FEATURES header. Right page two-col How To Measure Impact of Features article good fill. Functional lead front."
s-007-001,2,2,"Front page: The Global Digest masthead + FEATURES label only ~10% fill. Right page single-col Virtual music box article good fill. Broken front page."
s-008-001,2,2,"Front page: The Gazette masthead + FEATURES label only ~10% fill. Right page two-col Ninety Days of Commits programming article good fill. Broken front page."
s-009-001,6,5,"Front page: The Clear Standard masthead + FRONT PAGE: Gelato Queen single-col long-form lead ~75% fill ending with FEATURES header. Right page two-col Dems Quietly Start Health Care Effort article good fill. Strong narrative front."
s-002-007,1,1,"Solo page broken — sub-masthead The Quiet Courier Vol.1 No.002 + 'Curated and composed automatically' tagline only ~5% fill mid-edition. Catastrophic page failure."
s-008-009,4,3,"Solo page: A Regular Expression for Validating An Internet Domain article single-col with sub-masthead The Gazette at bottom ~60% fill. Adequate single page with mild bottom dead space."
s-010-007,5,3,"Solo page: The Dalrymple Report podcast notes single-col + Quiet Tribune sub-masthead at bottom ~70% fill. Functional terminal page with mild dead space."
s-012-009,1,1,"Solo page broken — sub-masthead The Swift Review Vol.1 No.012 + 'Curated and composed automatically' tagline only ~5% fill mid-edition. Catastrophic page failure."
s-014-011,1,1,"Solo page broken — sub-masthead The Thoughtful Herald Vol.1 No.014 + 'Curated and composed automatically' tagline only ~5% fill mid-edition. Catastrophic page failure."
s-004-002,6,3,"Left page two-col Anime vs. Marvel/DC: Designing Digital Products with Emotion in Flow article good fill ~95%. Right page two-col From Higher-Order Functions to Libraries article good fill ~95%. Both pages dense matched gray walls."
s-005-003,7,5,"Left page two-col Closing Iterables is a Leaky Abstraction tutorial with code blocks providing texture good fill. Right page three-col Reflecting on Cancer Diagnosis + The Day I Leave Tech + IN BRIEF column. Mixed templates create editorial variety."
s-011-009,7,5,"Left page three-col Process scheduling KnightOS tutorial good fill. Right page three-col Updating to Latest Ansible + A Week of Whole 30 Meals + IN BRIEF columns good fill. Excellent multi-article density both sides."
s-013-006,6,3,"Left page single-col AIA sues Donald Trump over Kennedy Center renovation article good fill ~95%. Right page single-col Trump plans to redesign DC's public golf course article good fill ~95%. Both pages dense matched gray walls."
s-022-002,5,3,"Left page two-col Spring Shoe Trends fashion article with DashDividers ad placeholders good fill ~95%. Right page short Switzerland sledge family article + miso chicken recipe ~70% fill with bottom dead space. Mild imbalance."
